 Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy | GPU Memory (MB)
47:31 |     1 |     1.000e-04 |    22.1826 |          5.3243 |     5.3255 |            6982
00:27 |     2 |     1.000e-04 |     8.2631 |          7.8889 |     7.8877 |            6982
13:19 |     3 |     1.000e-04 |     6.1689 |          5.1995 |     5.2003 |            7087
26:11 |     4 |     1.000e-04 |     5.2351 |          3.4357 |     3.4357 |            7087
39:01 |     5 |     1.000e-04 |     4.5961 |          3.7308 |     3.7313 |            7087
51:56 |     6 |     1.000e-04 |     4.0702 |          3.3500 |     3.3505 |            7087
04:52 |     7 |     1.000e-04 |     3.7741 |          5.1977 |     5.1976 |            7087
17:49 |     8 |     1.000e-04 |     3.5045 |          9.6095 |     9.6106 |            7087
30:48 |     9 |     1.000e-04 |     3.3318 |          2.7801 |     2.7802 |            7087
43:39 |    10 |     1.000e-04 |     3.0308 |          2.6914 |     2.6917 |            7087
56:34 |    11 |     1.000e-04 |     3.0195 |          2.4148 |     2.4151 |            7087
09:29 |    12 |     1.000e-04 |     2.6177 |          2.7748 |     2.7742 |            7087
22:24 |    13 |     1.000e-04 |     2.6070 |          3.3133 |     3.3142 |            7138
35:19 |    14 |     1.000e-04 |     2.4436 |          1.4791 |     1.4792 |            7138
48:10 |    15 |     1.000e-04 |     2.2935 |          1.7974 |     1.7978 |            7138
01:01 |    16 |     1.000e-04 |     2.3348 |          3.2946 |     3.2940 |            7138
13:58 |    17 |     1.000e-04 |     2.3739 |          3.0257 |     3.0263 |            7192
26:58 |    18 |     1.000e-04 |     2.1196 |          1.5546 |     1.5548 |            7192
40:02 |    19 |     1.000e-04 |     2.0049 |          2.6316 |     2.6319 |            7192
52:56 |    20 |     1.000e-04 |     1.9583 |          1.7389 |     1.7392 |            7192
05:51 |    21 |     1.000e-04 |     1.9955 |          2.2798 |     2.2795 |            7192
18:52 |    22 |     1.000e-04 |     1.8027 |          1.2603 |     1.2605 |            7192
31:47 |    23 |     1.000e-04 |     1.7253 |          4.4577 |     4.4576 |            7192
44:43 |    24 |     1.000e-04 |     1.7574 |          3.7550 |     3.7544 |            7192
57:39 |    25 |     1.000e-04 |     1.7220 |          1.1820 |     1.1822 |            7192
10:36 |    26 |     1.000e-04 |     1.6178 |          1.8441 |     1.8441 |            7192
23:27 |    27 |     1.000e-04 |     1.6420 |          3.6725 |     3.6725 |            7192
36:19 |    28 |     1.000e-04 |     1.7060 |          3.3391 |     3.3391 |            7192
49:20 |    29 |     1.000e-04 |     1.5592 |          1.6441 |     1.6440 |            7192
02:15 |    30 |     1.000e-04 |     1.6103 |          1.8197 |     1.8199 |            7192
15:07 |    31 |     1.000e-04 |     1.5251 |          1.4341 |     1.4343 |            7192
28:04 |    32 |     1.000e-04 |     1.4742 |          2.8736 |     2.8735 |            7192
40:55 |    33 |     1.000e-04 |     1.4948 |          3.2470 |     3.2470 |            7192
53:52 |    34 |     1.000e-04 |     1.4869 |          1.0824 |     1.0824 |            7192
06:49 |    35 |     1.000e-04 |     1.4229 |          1.1853 |     1.1853 |            7192
19:40 |    36 |     1.000e-04 |     1.3421 |          1.5150 |     1.5148 |            7192
32:34 |    37 |     1.000e-04 |     1.3697 |          0.8655 |     0.8656 |            7192
45:33 |    38 |     1.000e-04 |     1.3173 |          2.4104 |     2.4100 |            7192
58:31 |    39 |     1.000e-04 |     1.3363 |          1.3709 |     1.3710 |            7192
11:23 |    40 |     1.000e-04 |     1.3577 |          0.8552 |     0.8553 |            7192
24:13 |    41 |     1.000e-04 |     1.2896 |          4.3842 |     4.3839 |            7192
37:10 |    42 |     1.000e-04 |     1.2824 |          2.0804 |     2.0799 |            7192
50:07 |    43 |     1.000e-04 |     1.2559 |          2.7876 |     2.7881 |            7192
02:58 |    44 |     1.000e-04 |     1.3107 |          1.5410 |     1.5408 |            7192
15:54 |    45 |     1.000e-04 |     1.2149 |          0.7587 |     0.7588 |            7192
28:51 |    46 |     1.000e-04 |     1.2139 |          1.9788 |     1.9787 |            7192
41:44 |    47 |     1.000e-04 |     1.1807 |          1.4271 |     1.4269 |            7192
54:33 |    48 |     1.000e-04 |     1.2142 |          2.6279 |     2.6277 |            7192
07:34 |    49 |     1.000e-04 |     1.1752 |          1.8233 |     1.8234 |            7192
20:24 |    50 |     1.000e-04 |     1.1183 |          1.8358 |     1.8358 |            7192
33:13 |    51 |     1.000e-04 |     1.1520 |          1.5019 |     1.5017 |            7192
46:04 |    52 |     1.000e-04 |     1.1335 |          1.4715 |     1.4712 |            7192
58:54 |    53 |     1.000e-04 |     1.1168 |          0.8167 |     0.8168 |            7192
11:50 |    54 |     1.000e-04 |     1.1048 |          1.7157 |     1.7158 |            7192
24:39 |    55 |     1.000e-04 |     1.0866 |          1.2440 |     1.2440 |            7192
37:33 |    56 |     1.000e-04 |     1.0751 |          1.1500 |     1.1503 |            7192
50:28 |    57 |     1.000e-04 |     1.0712 |          1.8544 |     1.8546 |            7192
